Timestamp,Crusher Fines,Cr Fines Fe,Cr Fines SiO2,Crusher Input,Cr Input Fe,Cr Input SiO2,Crusher Lump,Cr Lump Fe,Cr Lump SiO2,Fines Fe,Fines SiO2,Lump Fe,Lump SiO2,R1 Fe,R1 SiO2,R1 Tonnes,R2 Fe,R2 SiO2,R2 Tonnes,R3 Fe,R3 SiO2,R3 Tonnes,W1 Fe,W1 SiO2,W1 Tonnes
1/01/2013 1:15,1352,63.754139,6.524797,400,63.557482,6.150589,1248,63.754139,6.524797,,,,,,,,,,,,,,,,
1/01/2013 1:18,,,,259.138743,63.557482,6.150589,,,,,,,,,,,,,,,,,,,
1/01/2013 1:21,,,,309.138743,64.238474,6.460847,,,,,,,,,,,,,,,,,,,
1/01/2013 1:21,1508,63.733795,6.486086,500,64.585082,6.618761,1392,63.733795,6.486086,,,,,,,,,,,,,,,,
1/01/2013 1:23,,,,,,,,,,,,,,,,,,,,63.6,5.98,608800,,,
1/01/2013 1:24,,,,359.138743,64.585082,6.618761,,,,,,,,,,,,,,,,,,,
1/01/2013 1:26,,,,,,,,,,,,,,63.20171,6.120661,449200,,,,,,,,,
1/01/2013 1:27,,,,409.138743,64.232725,6.390281,,,,,,,,,,,,,,,,,,,
1/01/2013 1:27,1664,63.813603,6.498524,600,63.664027,6.26568,1536,63.813603,6.498524,,,,,,,,,,,,,,,,
1/01/2013 1:27,,,,,,,,,,,,,,,,,62.500644,6.010786,529800,,,,,,
1/01/2013 1:30,,,,459.138743,63.664027,6.26568,,,,,,,,,,,,,,,,,,,
1/01/2013 1:32,,,,,,,,,,,,,,63.202157,6.121538,449400,,,,,,,,,
1/01/2013 1:33,,,,509.138743,63.828795,6.819732,,,,,,,,,,,,,,,,,,,
1/01/2013 1:33,1820,63.800783,6.478566,700,63.651937,6.622572,1680,63.800783,6.478566,,,,,,,,,,,,,,,,
1/01/2013 1:34,,,,,,,,,,,,,,,,,62.501633,6.011107,530000,,,,,,
1/01/2013 1:35,,,,,,,,,,,,,,,,,,,,63.6,5.98,608600,,,
1/01/2013 1:36,,,,559.138743,63.651937,6.622572,,,,,,,,,,,,,,,,,,,
1/01/2013 1:39,,,,609.138743,63.638254,6.453282,,,,,,,,,,,,,,,,,,,
1/01/2013 1:39,1976,63.789032,6.489935,800,64.004712,6.554517,1824,63.789032,6.489935,,,,,,,,,,,,,,,,
1/01/2013 1:40,,,,,,,,,,,,,,,,,62.502621,6.011428,530200,,,,,,
1/01/2013 1:42,,,,650,64.004712,6.554517,,,,,,,,,,,,,,,,,,,
1/01/2013 1:45,,,,,,,,,,,,,,,,,,,,63.6,5.98,608400,,,
1/01/2013 1:45,2132,63.804813,6.494661,700,63.909486,6.419336,1968,63.804813,6.494661,,,,,,,,,,,,,,,,
1/01/2013 1:48,,,,550,63.909486,6.419336,,,,,,,,,,,,,,,,,,,
1/01/2013 1:48,,,,,,,,,,,,,,,,,62.502621,6.011428,530000,,,,,,
1/01/2013 1:51,2288,63.81195,6.489525,600,63.826956,6.30218,2112,63.81195,6.489525,,,,,,,,,,,,,,,,
1/01/2013 1:53,,,,,,,,,,,,,,,,,,,,63.6,5.98,608200,,,
1/01/2013 1:54,,,,444.394017,63.826956,6.30218,,,,,,,,,,,,,,,,,,,
1/01/2013 1:57,2444,63.812908,6.477567,500,63.415923,6.21194,2256,63.812908,6.477567,,,,,,,,,,,,,,,,
1/01/2013 1:59,,,,427.833688,63.415923,6.21194,,,,,,,,,,,,,,,,,,,
1/01/2013 1:59,,,,,,,,,,,,,,,,,62.502621,6.011428,529800,,,,,,
1/01/2013 2:02,,,,477.833688,63.474562,6.138054,,,,,,,,,,,,,,,,,,,
1/01/2013 2:03,,,,,,,,,,,,,,63.202604,6.122415,449600,,,,,,,,,
1/01/2013 2:03,2600,63.789089,6.461629,600,63.960307,6.35191,2400,63.789089,6.461629,,,,,,,,,,,,,,,,
1/01/2013 2:05,,,,527.833688,63.960307,6.35191,,,,,,,,,,,,,,,,,,,
1/01/2013 2:06,,,,,,,,,,,,,,,,,,,,63.6,5.98,608000,,,
1/01/2013 2:06,,,,,,,,,,,,,,63.203051,6.12329,449800,,,,,,,,,
1/01/2013 2:08,,,,577.833688,63.559752,6.258349,,,,,,,,,,,,,,,,,,,
1/01/2013 2:08,,,,,,,,,,,,,,,,,62.502621,6.011428,529600,,,,,,
1/01/2013 2:09,2756,63.79878,6.455418,700,63.961144,6.413781,2544,63.79878,6.455418,,,,,,,,,,,,,,,,
1/01/2013 2:10,,,,,,,,,,,,,,,,,62.503264,6.012214,529800,,,,,,
1/01/2013 2:11,,,,627.833688,63.961144,6.413781,,,,,,,,,,,,,,,,,,,
1/01/2013 2:15,,,,,,,,,,,,,,63.203903,6.123619,450000,,,,,,,,,
1/01/2013 2:15,2912,63.807478,6.453188,600,63.873893,6.308982,2688,63.807478,6.453188,,,,,,,,,,,,,,,,
1/01/2013 2:16,,,,,,,,,,,,,,,,,,,,63.6,5.98,607800,,,
1/01/2013 2:18,,,,450,63.873893,6.308982,,,,,,,,,,,,,,,,,,,
1/01/2013 2:21,3068,63.810855,6.445855,500,63.451963,6.217427,2832,63.810855,6.445855,,,,,,,,,,,,,,,,
1/01/2013 2:21,,,,700,63.49426,6.149591,,,,,,,,,,,,,,,,,,,
1/01/2013 2:22,,,,,,,,,,,,,,,,,62.503264,6.012214,529600,,,,,,
1/01/2013 2:24,,,,550,63.49426,6.149591,,,,,,,,,,,,,,,,,,,
1/01/2013 2:27,3224,63.795536,6.43152,600,63.229994,6.112957,2976,63.795536,6.43152,,,,,,,,,,,,,,,,
1/01/2013 2:27,,,,800,63.702704,6.300429,,,,,,,,,,,,,,,,,,,
1/01/2013 2:28,,,,,,,,,,,,,,,,,,,,63.6,5.98,607600,,,
1/01/2013 2:30,,,,650,63.702704,6.300429,,,,,,,,,,,,,,,,,,,
1/01/2013 2:32,,,,,,,,,,,,,,,,,62.503264,6.012214,529400,,,,,,
1/01/2013 2:33,3380,63.791252,6.42547,700,63.678538,6.225034,3120,63.791252,6.42547,,,,,,,,,,,,,,,,
1/01/2013 2:34,,,,,,,,,,,,,,63.204349,6.124493,450200,,,,,,,,,
1/01/2013 2:35,,,,,,,,,,,,,,,,,,,,63.6,5.98,607400,,,
1/01/2013 2:36,,,,550,63.678538,6.225034,,,,,,,,,,,,,,,,,,,
1/01/2013 2:38,,,,,,,,,,,,,,63.204794,6.125367,450400,,,,,,,,,
1/01/2013 2:39,3536,63.786279,6.416627,600,64.06315,6.395118,3264,63.786279,6.416627,,,,,,,,,,,,,,,,
1/01/2013 2:39,,,,800,63.673178,6.299392,,,,,,,,,,,,,,,,,,,
1/01/2013 2:43,,,,,,,,,,,,,,,,,62.503264,6.012214,529200,,,,,,
1/01/2013 2:43,,,,621.024151,63.673178,6.299392,,,,,,,,,,,,,,,,,,,
1/01/2013 2:44,,,,,,,,,,,,,,,,,62.503264,6.012214,529000,,,,,,
1/01/2013 2:45,3692,63.7815,6.411673,700,63.655352,6.221588,3408,63.7815,6.411673,,,,,,,,,,,,,,,,
1/01/2013 2:48,,,,550,63.655352,6.221588,,,,,,,,,,,,,,,,,,,
1/01/2013 2:48,,,,,,,,,,,,,,63.205644,6.125694,450600,,,,,,,,,
1/01/2013 2:49,,,,,,,,,,,,,,,,,,,,63.6,5.98,607200,,,
1/01/2013 2:51,3848,63.776386,6.403967,600,63.348129,6.165755,3552,63.776386,6.403967,,,,,,,,,,,,,,,,
1/01/2013 2:51,,,,800,63.411097,6.119316,,,,,,,,,,,,,,,,,,,
1/01/2013 2:54,,,,650,63.411097,6.119316,,,,,,,,,,,,,,,,,,,
1/01/2013 2:54,,,,,,,,,,,,,,,,,62.503908,6.013,529200,,,,,,
1/01/2013 2:57,4004,63.762154,6.392877,700,63.813387,6.294265,3696,63.762154,6.392877,,,,,,,,,,,,,,,,
1/01/2013 2:59,,,,,,,,,,,,,,,,,,,,63.6,5.98,607000,,,
1/01/2013 3:00,,,,550,63.813387,6.294265,,,,,,,,,,,,,,,,,,,
1/01/2013 3:03,,,,,,,,,,,,,,,,,62.503908,6.013,529000,,,,,,
1/01/2013 3:03,4160,63.764075,6.389179,600,63.464021,6.219051,3840,63.764075,6.389179,,,,,,,,,,,,,,,,
1/01/2013 3:03,,,,800,63.878224,6.38,,,,,,,,,,,,,,,,,,,
1/01/2013 3:06,,,,650,63.878224,6.38,,,,,,,,,,,,,,,,,,,
1/01/2013 3:07,,,,,,,,,,,,,,63.206089,6.126566,450800,,,,,,,,,
1/01/2013 3:09,4316,63.768201,6.388847,700,63.812759,6.285882,3984,63.768201,6.388847,,,,,,,,,,,,,,,,
1/01/2013 3:11,,,,,,,,,,,,,,,,,,,,63.6,5.98,606800,,,
1/01/2013 3:12,,,,550,63.812759,6.285882,,,,,,,,,,,,,,,,,,,
1/01/2013 3:15,4472,63.769755,6.385255,600,63.463733,6.213114,4128,63.769755,6.385255,,,,,,,,,,,,,,,,
1/01/2013 3:15,,,,800,63.497799,6.154835,,,,,,,,,,,,,,,,,,,
1/01/2013 3:17,,,,,,,,,,,,,,63.206533,6.127438,451000,,,,,,,,,
1/01/2013 3:18,,,,650,63.497799,6.154835,,,,,,,,,,,,,,,,,,,
1/01/2013 3:18,,,,,,,,,,,,,,,,,,,,63.6,5.98,606600,,,
1/01/2013 3:21,4628,63.760588,6.377488,700,63.263943,6.121462,4272,63.760588,6.377488,,,,,,,,,,,,,,,,
1/01/2013 3:23,,,,,,,,,,,,,,,,,62.503908,6.013,528800,,,,,,
1/01/2013 3:23,,,,,,,,,,,,,,63.206976,6.128309,451200,,,,,,,,,
1/01/2013 3:24,,,,,,,,,,,,,,,,,62.504898,6.013321,529000,,,,,,
1/01/2013 3:24,,,,550,63.263943,6.121462,,,,,,,,,,,,,,,,,,,
1/01/2013 3:27,,,,,,,,,,,,,,,,,,,,63.6,5.98,606400,,,
1/01/2013 3:27,4784,63.744393,6.36914,600,63.759113,6.319165,4416,63.744393,6.36914,,,,,,,,,,,,,,,,
1/01/2013 3:27,,,,800,63.719335,6.234374,,,,,,,,,,,,,,,,,,,
1/01/2013 3:29,,,,,,,,,,,,,,63.207419,6.129178,451400,,,,,,,,,
1/01/2013 3:30,,,,,,,,,,,,,,,,,62.504898,6.013321,528800,,,,,,
1/01/2013 3:30,,,,650,63.719335,6.234374,,,,,,,,,,,,,,,,,,,
1/01/2013 3:33,4940,63.743602,6.364884,700,64.049099,6.38225,4560,63.743602,6.364884,,,,,,,,,,,,,,,,
1/01/2013 3:36,,,,550,64.049099,6.38225,,,,,,,,,,,,,,,,,,,
1/01/2013 3:38,,,,,,,,,,,,,,,,,,,,63.6,5.98,606200,,,
1/01/2013 3:39,5096,63.752954,6.365416,600,63.929339,6.274983,4704,63.752954,6.365416,,,,,,,,,,,,,,,,
1/01/2013 3:39,,,,800,63.847004,6.201237,,,,,,,,,,,,,,,,,,,
1/01/2013 3:42,,,,650,63.847004,6.201237,,,,,,,,,,,,,,,,,,,
1/01/2013 3:45,5252,63.755748,6.360539,700,63.531215,6.157022,4848,63.755748,6.360539,,,,,,,,,,,,,,,,
1/01/2013 3:47,,,,,,,,,,,,,,,,,,,,63.6,5.98,606000,,,
1/01/2013 3:48,,,,550,63.531215,6.157022,,,,,,,,,,,,,,,,,,,
1/01/2013 3:49,,,,,,,,,,,,,,63.208267,6.129503,451600,,,,,,,,,
1/01/2013 3:51,,,,,,,,,,,,,,,,,62.504898,6.013321,528600,,,,,,
1/01/2013 3:51,5408,63.749271,6.354668,600,63.25753,6.118701,4992,63.749271,6.354668,,,,,,,,,,,,,,,,
1/01/2013 3:51,,,,800,63.723356,6.304738,,,,,,,,,,,,,,,,,,,
1/01/2013 3:54,,,,650,63.723356,6.304738,,,,,,,,,,,,,,,,,,,
1/01/2013 3:54,,,,,,,,,,,,,,,,,,,,63.6,5.98,605800,,,
1/01/2013 3:55,,,,,,,,,,,,,,63.208709,6.130372,451800,,,,,,,,,
1/01/2013 3:57,5564,63.748544,6.353268,700,63.837167,6.725192,5136,63.748544,6.353268,,,,,,,,,,,,,,,,
1/01/2013 4:00,,,,,,,,,,,,,,,,,62.504898,6.013321,528400,,,,,,
1/01/2013 4:00,,,,550,63.837167,6.725192,,,,,,,,,,,,,,,,,,,
1/01/2013 4:00,,,,,,,,,,,,,,,,,62.504898,6.013321,528200,,,,,,
1/01/2013 4:03,5720,63.750961,6.363412,600,63.773922,6.526474,5280,63.750961,6.363412,,,,,,,,,,,,,,,,
1/01/2013 4:06,,,,645.583455,63.730442,6.389855,,,,,,,,,,,,,,,,,,,
1/01/2013 4:09,5876,63.751571,6.367741,700,63.440572,6.300796,5424,63.751571,6.367741,,,,,,,,,,,,,,,,
1/01/2013 4:12,,,,,,,,,,,,,,,,,,,,63.6,5.98,605600,,,
1/01/2013 4:12,,,,550,63.440572,6.300796,,,,,,,,,,,,,,,,,,,
1/01/2013 4:14,,,,,,,,,,,,,,63.209555,6.130696,452000,,,,,,,,,
1/01/2013 4:14,,,,,,,,,,,,,,,,,62.505542,6.014107,528400,,,,,,
1/01/2013 4:15,6032,63.743528,6.366009,600,63.483086,6.215251,5568,63.743528,6.366009,,,,,,,,,,,,,,,,
1/01/2013 4:18,,,,650,63.892523,6.37715,,,,,,,,,,,,,,,,,,,
1/01/2013 4:20,,,,,,,,,,,,,,63.2104,6.13102,452200,,,,,,,,,
1/01/2013 4:21,6188,63.736962,6.362209,700,63.566023,6.291543,5712,63.736962,6.362209,,,,,,,,,,,,,,,,
1/01/2013 4:23,,,,,,,,,,,,,,63.2104,6.13102,452000,,,,,,,,,
1/01/2013 4:24,,,,,,,,,,,,,,,,,,,,63.6,5.98,605400,,,
1/01/2013 4:24,,,,550,63.566023,6.291543,,,,,,,,,,,,,,,,,,,
1/01/2013 4:27,6344,63.732758,6.360471,600,63.980639,6.443891,5856,63.732758,6.360471,,,,,,,,,,,,,,,,
1/01/2013 4:29,,,,,,,,,,,,,,,,,62.505542,6.014107,528200,,,,,,
1/01/2013 4:30,,,,650,63.611864,6.336445,,,,,,,,,,,,,,,,,,,
1/01/2013 4:30,,,,,,,,,,,,,,63.210841,6.131887,452200,,,,,,,,,
1/01/2013 4:33,6500,63.738708,6.362473,700,63.609073,6.252575,6000,63.738708,6.362473,,,,,,,,,,,,,,,,
1/01/2013 4:33,,,,,,,,,,,,,,63.211281,6.132753,452400,,,,,,,,,
1/01/2013 4:36,,,,550,63.609073,6.252575,,,,,,,,,,,,,,,,,,,
1/01/2013 4:38,,,,,,,,,,,,,,,,,62.505542,6.014107,528000,,,,,,
1/01/2013 4:38,,,,,,,,,,,,,,,,,,,,63.6,5.98,605200,,,
1/01/2013 4:39,6656,63.735669,6.359897,600,63.50276,6.220161,6144,63.735669,6.359897,,,,,,,,,,,,,,,,
1/01/2013 4:42,,,,,,,,,,,,,,,,,62.506186,6.014894,528200,,,,,,
1/01/2013 4:45,,,,,,,,,,,,,,63.212125,6.133076,452600,,,,,,,,,
1/01/2013 4:45,6812,63.730335,6.356697,500,63.907278,6.380832,6288,63.730335,6.356697,,,,,,,,,,,,,,,,
1/01/2013 4:46,,,,,,,,,,,,,,,,,,,,63.6,5.98,605000,,,
1/01/2013 4:48,,,,350,63.907278,6.380832,,,,,,,,,,,,,,,,,,,
1/01/2013 4:51,,,,,,,,,,,,,,63.212968,6.133398,452800,,,,,,,,,
1/01/2013 4:51,6968,63.734297,6.357238,400,63.795541,6.235075,6432,63.734297,6.357238,,,,,,,,,,,,,,,,
1/01/2013 4:54,,,,450,63.365541,6.161419,,,,,,,,,,,,,,,,,,,
1/01/2013 4:55,,,,,,,,,,,,,,63.213811,6.13372,453000,,,,,,,,,
1/01/2013 4:57,7124,63.735638,6.354563,500,63.437682,6.105598,6576,63.735638,6.354563,,,,,,,,,,,,,,,,
1/01/2013 5:00,,,,,,,,,,,,,,,,,,,,63.6,5.98,604800,,,
1/01/2013 5:00,,,,550,63.171541,6.079683,,,,,,,,,,,,,,,,,,,
1/01/2013 5:03,7280,63.729253,6.349228,600,63.285796,6.053101,6720,63.729253,6.349228,,,,,,,,,,,,,,,,
1/01/2013 5:04,,,,,,,,,,,,,,,,,62.506186,6.014894,528000,,,,,,
1/01/2013 5:06,,,,,,,,,,,,,,,,,,,,63.6,5.98,604600,,,
1/01/2013 5:07,,,,,,,,,,,,,,63.214249,6.134584,453200,,,,,,,,,
